name,openset
sample_00000000,"['pleasurable', 'self-deprecating', 'relaxed', 'complaining', 'relieved', 'humorous', 'joyful', 'happy']"
sample_00000007,"['excited', 'joyful', 'happy']"
sample_00000021,"['suspect', 'question', 'doubt']"
sample_00000033,"['pessimism', 'worry']"
sample_00000039,"['angry', 'mad']"
sample_00000055,"['concerned', 'worried', 'serious', 'heavy']"
sample_00000068,"['unease', 'anxiety', 'worry', 'fear', 'sadness', 'nervousness']"
sample_00000070,"['sad', 'depressed']"
sample_00000073,"['excited', 'angry']"
sample_00000114,"['impatient', 'warning', 'angry', 'displeased']"
sample_00000118,"['serious', 'concerned', 'helpless', 'worried', 'thinking']"
sample_00000126,"['angry', 'disappointed']"
sample_00000153,"['surprised', 'relaxed', 'positive', 'joyful', 'pleasant', 'happy']"
sample_00000166,"['surprised', 'uneasy', 'nervous']"
sample_00000174,"['surprised', 'delighted', 'happy']"
sample_00000176,"['concern', 'terror', 'worry', 'fear']"
sample_00000203,"['sad', 'miss', 'nostalgic']"
sample_00000208,"['joyful', 'delighted', 'happy']"
sample_00000209,"['looking forward to', 'joyful', 'happy']"
sample_00000213,"['accusation', 'angry', 'dissatisfaction']"
sample_00000215,"['relaxed', 'agree', 'positive', 'accept', 'pleasant', 'happy']"
sample_00000218,"['impatient', 'excited', 'angry', 'dissatisfied']"
sample_00000220,['surprised']
sample_00000225,"['suspicious', 'angry', 'dissatisfied', 'questioning']"
sample_00000227,"['affirmative', 'positive', 'joyful', 'confident', 'delighted', 'happy']"
sample_00000240,"['surprise', 'admiration', 'shock', 'sympathy']"
sample_00000246,"['concern', 'attention', 'worry']"
sample_00000256,"['regret', 'remorse', 'sadness', 'grief']"
sample_00000258,"['serious', 'thoughtful', 'thinking']"
sample_00000276,['sad']
sample_00000278,"['coquettish', 'joyful', 'positive', 'happy']"
sample_00000286,"['negative', 'disappointed']"
sample_00000294,"['relax', 'joyful', 'positive', 'happy']"
sample_00000296,"['accusation', 'angry', 'negative']"
sample_00000325,"['helplessness', 'pain', 'breakdown', 'sadness']"
sample_00000338,"['anxiety', 'nervousness', 'worry']"
sample_00000342,['surprised']
sample_00000346,"['concerned', 'negative', 'worried']"
sample_00000353,"['uneasy', 'serious', 'heavy', 'concerned', 'nervous', 'worried']"
sample_00000361,"['concern', 'warning']"
sample_00000363,"['nervous', 'worried']"
sample_00000365,"['serious', 'angry', 'disappointed']"
sample_00000368,"['surprised', 'puzzled', 'alert', 'curious', 'confused']"
sample_00000370,"['disappointment', 'sadness', 'negative emotions', 'self-deprecation', 'negativity', 'frustration', 'helplessness', 'dissatisfaction']"
sample_00000385,"['humorous', 'joyful', 'satisfied', 'happy']"
sample_00000388,"['accusation', 'anger', 'blame', 'dissatisfaction']"
sample_00000393,"['questioning', 'warning', 'angry', 'dissatisfaction']"
sample_00000406,"['doubtful', 'confused']"
sample_00000407,"['excited', 'angry']"
sample_00000420,"['humor', 'mockery', 'irony']"
sample_00000433,"['serious', 'worried', 'concerned']"
sample_00000439,"['surprised', 'shocked']"
sample_00000444,"['joyful', 'happy']"
sample_00000447,"['unfairness', 'disappointment', 'sadness', 'dissatisfaction']"
sample_00000461,"['low', 'heavy', 'sad', 'memories', 'contemplation']"
sample_00000476,"['anxiety', 'worry']"
sample_00000493,"['negative', 'angry', 'dissatisfied']"
sample_00000499,"['relaxed', 'caring', 'pleasant', 'friendly', 'happy']"
sample_00000502,"['relieved', 'relaxed', 'joyful', 'happy']"
sample_00000508,"['surprised', 'question']"
sample_00000515,"['angry', 'dissatisfied']"
sample_00000518,"['uneasy', 'serious', 'uncomfortable', 'worried', 'anxious']"
sample_00000519,"['excited', 'angry']"
sample_00000529,"['concern', 'anxiety', 'care', 'worry']"
sample_00000535,"['conflict', 'angry', 'sad', 'excited', 'dissatisfied']"
sample_00000536,"['pain', 'breakdown', 'sadness']"
sample_00000549,"['surprised', 'confused', 'puzzled']"
sample_00000561,"['satisfied', 'positive', 'happy']"
sample_00000569,"['resolute', 'painful', 'serious', 'helpless', 'sad', 'hopeless']"
sample_00000571,"['excited', 'looking forward to', 'joyful', 'happy']"
sample_00000601,"['relaxed', 'shy', 'happy', 'teasing']"
sample_00000602,"['serious', 'nervous', 'angry', 'dissatisfied']"
sample_00000605,"['love', 'relaxed', 'proud', 'joy', 'positive', 'interest', 'confident', 'happy']"
sample_00000607,"['excited', 'joyful', 'satisfied', 'happy']"
