Current learning rate: 0.1
Epoch: [0][  0/383]	Loss 1.9858 (1.9858)	Accuracy 11.719 (11.719)
Epoch: [0][ 10/383]	Loss 2.1995 (2.4417)	Accuracy 14.062 (14.418)
Epoch: [0][ 20/383]	Loss 2.1900 (2.3046)	Accuracy 13.281 (13.802)
Epoch: [0][ 30/383]	Loss 2.2074 (2.2313)	Accuracy 21.094 (13.760)
Epoch: [0][ 40/383]	Loss 1.9641 (2.1794)	Accuracy 11.719 (14.120)
Epoch: [0][ 50/383]	Loss 2.0838 (2.1579)	Accuracy 15.625 (14.108)
Epoch: [0][ 60/383]	Loss 2.0148 (2.1389)	Accuracy 10.156 (14.319)
Epoch: [0][ 70/383]	Loss 1.9688 (2.1185)	Accuracy 15.625 (14.558)
Epoch: [0][ 80/383]	Loss 1.9409 (2.1008)	Accuracy 17.969 (14.969)
Epoch: [0][ 90/383]	Loss 1.9312 (2.0860)	Accuracy 20.312 (15.273)
Epoch: [0][100/383]	Loss 1.9510 (2.0737)	Accuracy 14.844 (15.416)
Epoch: [0][110/383]	Loss 1.9270 (2.0619)	Accuracy 16.406 (15.639)
Epoch: [0][120/383]	Loss 1.9580 (2.0532)	Accuracy 17.188 (15.774)
Epoch: [0][130/383]	Loss 1.9609 (2.0457)	Accuracy 14.062 (15.774)
Epoch: [0][140/383]	Loss 1.9373 (2.0381)	Accuracy 14.844 (15.924)
Epoch: [0][150/383]	Loss 1.9600 (2.0328)	Accuracy 17.969 (15.982)
Epoch: [0][160/383]	Loss 1.9351 (2.0277)	Accuracy 21.875 (16.042)
Epoch: [0][170/383]	Loss 1.9467 (2.0234)	Accuracy 16.406 (16.082)
Epoch: [0][180/383]	Loss 1.9247 (2.0194)	Accuracy 17.188 (16.113)
Epoch: [0][190/383]	Loss 1.9333 (2.0163)	Accuracy 18.750 (16.116)
Epoch: [0][200/383]	Loss 1.9471 (2.0136)	Accuracy 21.094 (16.185)
Epoch: [0][210/383]	Loss 1.9818 (2.0101)	Accuracy 17.188 (16.317)
Epoch: [0][220/383]	Loss 1.9270 (2.0067)	Accuracy 25.000 (16.399)
Epoch: [0][230/383]	Loss 1.9492 (2.0032)	Accuracy 16.406 (16.440)
Epoch: [0][240/383]	Loss 1.9672 (2.0008)	Accuracy 14.062 (16.497)
Epoch: [0][250/383]	Loss 1.9544 (1.9980)	Accuracy 22.656 (16.593)
Epoch: [0][260/383]	Loss 1.9589 (1.9960)	Accuracy 21.094 (16.583)
Epoch: [0][270/383]	Loss 1.9544 (1.9936)	Accuracy 19.531 (16.689)
Epoch: [0][280/383]	Loss 1.9227 (1.9919)	Accuracy 14.844 (16.690)
Epoch: [0][290/383]	Loss 1.9265 (1.9897)	Accuracy 17.969 (16.739)
Epoch: [0][300/383]	Loss 1.9282 (1.9880)	Accuracy 20.312 (16.832)
Epoch: [0][310/383]	Loss 1.9154 (1.9864)	Accuracy 21.094 (16.808)
Epoch: [0][320/383]	Loss 1.9311 (1.9847)	Accuracy 14.844 (16.881)
Epoch: [0][330/383]	Loss 1.9698 (1.9830)	Accuracy 17.188 (16.956)
Epoch: [0][340/383]	Loss 1.9192 (1.9813)	Accuracy 18.750 (17.041)
Epoch: [0][350/383]	Loss 1.9068 (1.9796)	Accuracy 20.312 (17.118)
Epoch: [0][360/383]	Loss 1.9477 (1.9786)	Accuracy 15.625 (17.157)
Epoch: [0][370/383]	Loss 1.9084 (1.9775)	Accuracy 20.312 (17.173)
Epoch: [0][380/383]	Loss 1.9431 (1.9766)	Accuracy 15.625 (17.179)
Test: [  0/164]	Loss 2.1887 (2.1887)	Accuracy  0.000 ( 0.000)
Test: [ 10/164]	Loss 1.9789 (2.0526)	Accuracy  0.000 ( 0.000)
Test: [ 20/164]	Loss 2.2192 (2.0604)	Accuracy  0.000 ( 0.037)
Test: [ 30/164]	Loss 2.1339 (2.0611)	Accuracy  6.250 ( 0.907)
Test: [ 40/164]	Loss 2.0232 (2.0529)	Accuracy  0.781 ( 1.810)
Test: [ 50/164]	Loss 1.9197 (2.0411)	Accuracy 17.188 ( 4.059)
Test: [ 60/164]	Loss 1.8211 (1.9826)	Accuracy 55.469 (14.549)
Test: [ 70/164]	Loss 1.7361 (1.9548)	Accuracy 50.000 (19.751)
Test: [ 80/164]	Loss 2.0302 (1.9396)	Accuracy  3.125 (22.637)
Test: [ 90/164]	Loss 1.9067 (1.9383)	Accuracy 18.750 (21.884)
Test: [100/164]	Loss 1.8669 (1.9425)	Accuracy  5.469 (20.529)
Test: [110/164]	Loss 1.8941 (1.9404)	Accuracy 20.312 (20.425)
Test: [120/164]	Loss 1.8725 (1.9310)	Accuracy 25.781 (21.126)
Test: [130/164]	Loss 1.9297 (1.9331)	Accuracy 15.625 (20.527)
Test: [140/164]	Loss 1.9368 (1.9306)	Accuracy 17.969 (21.044)
Test: [150/164]	Loss 1.9515 (1.9332)	Accuracy  3.125 (20.080)
Test: [160/164]	Loss 1.9810 (1.9365)	Accuracy  2.344 (19.172)
 * Accuracy 18.945
Current best accuracy: 18.94506072998047
164.832288980484
Current learning rate: 0.1
Epoch: [1][  0/383]	Loss 1.9494 (1.9494)	Accuracy 14.062 (14.062)
Epoch: [1][ 10/383]	Loss 1.9379 (1.9254)	Accuracy 16.406 (18.182)
Epoch: [1][ 20/383]	Loss 1.9309 (1.9267)	Accuracy 17.188 (19.382)
Epoch: [1][ 30/383]	Loss 1.8842 (1.9255)	Accuracy 24.219 (18.674)
Epoch: [1][ 40/383]	Loss 1.9078 (1.9270)	Accuracy 18.750 (18.826)
Epoch: [1][ 50/383]	Loss 1.9549 (1.9264)	Accuracy 17.969 (19.164)
Epoch: [1][ 60/383]	Loss 1.9760 (1.9274)	Accuracy 16.406 (19.134)
Epoch: [1][ 70/383]	Loss 1.9129 (1.9273)	Accuracy 19.531 (19.212)
