name,chinese,english
Ses01F_script02_2_M000,看这个，我胳膊上的所有毛都竖起来了。,"Look at this, all of the hairs are standing up on my arm."
Ses01F_script02_2_F000,那是风。,That's the wind.
Ses01F_script02_2_M001,嗯，那么，你认为怎么样？,"Well, so, what do you think?"
Ses01F_script02_2_F001,关于什么？,About what?
Ses01F_script02_2_M002,关于我刚才说的事情。,About what I was saying.
Ses01F_script02_2_F002,我认为这太荒谬了。,I think it's ridiculous.
Ses01F_script02_2_M003,这绝对不是。这是稍微夸张的科学事实。,It certainly is not.  It's slightly exaggerated scientific fact.
Ses01F_script02_2_F003,这是公关！有人向你兜售了一堆胡言乱语，说今晚海滩上会发生一件奇妙的事情。,It's PR! Somebody sold you a bunch of crap that there is this wonderful thing that is going to happen tonight on the beach.
Ses01F_script02_2_M004,不仅仅是我，看看这些人。,"Not just me, look at all of these people."
Ses01F_script02_2_F004,每个人都听到了同样的故事。它让我们不断回来，让我们兴奋。我们一直认为，只要我们能找到合适的位置，参与其中，生活就会在任何时刻开始。,"Everybody's told the same story.  It keeps us coming back for more, it keeps us excited.  We keep thinking that life is going start at any minute if we can just find the right spot, get in on the action."
Ses01F_script02_2_M005,我们在谈论同一件事吗？,"Are we talking about the same thing, here?"
Ses01F_script02_2_F005,对不起，对我来说只是鱼而已。,"I'm sorry, it's just fish to me."
Ses01F_script02_2_M006,卡拉，我可以问你个问题吗？现在，不要误解我的意思，但是你现在是不是在经期？,"Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?"
Ses01F_script02_2_F006,不要问我那个。当你问我那个时，我讨厌它，你总是问我那个。这是侮辱性的。,"Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting."
Ses01F_script02_2_M007,那么，有什么困扰你的吗？,"Well then, what's bugging you?"
Ses01F_script02_2_F007,我们只是对这个夜晚应该是什么样子有不同的想法。,We just have different ideas of what this night is supposed to look like.
Ses01F_script02_2_M008,没有什么了不起的；我们来到这里，鱼就来了，它们扑腾着，做它们的鱼事。我们发出哦哇的声音，看着鱼，然后回家。,"There is nothing to it; we come down here, the fish arrive, they flop around, they do their fish thing.  We go ooh, ah, look at the fish and we go home."
Ses01F_script02_2_F008,为了上帝-长大吧，奥吉。鱼不会到达的。,"For God- Grow up, Augie.  The fish are not going to arrive."
Ses01F_script02_2_M009,为什么不呢？,Why not?
Ses01F_script02_2_F009,因为他们从来不这样做。他们有吗...他们有吗？,Because they never do.  Have they...Have they ever?
Ses01F_script02_2_M010,我们已经错过了他们两次。,We've missed them twice.
Ses01F_script02_2_F010,两次是我们每次尝试的时候；那就是永远。,Twice is every time we have tried; that's ever.
Ses01F_script02_2_M011,他们这次会出现。,They'll show up this time.
Ses01F_script02_2_F011,不，他们不会。这就像等待圣诞老人一样。,No they won't.  It's like waiting for Santa Claus.
Ses01F_script02_2_F012,我觉得我整个生命都将花在这个海滩上，眼睛睁得大大的，双手紧紧地握在一起，期待着鱼儿的出现。但是鱼儿从未出现过。,I feel like my whole life is going to be spent standing on this beach with my eyes wide open and my hands clasped expectantly waiting for fish to show up.  And the fish never show up.
Ses01F_script02_2_M012,我以为你想看它。,I thought you wanted to see it.
Ses01F_script02_2_F013,你不理解我说的任何事情。,You don't understand anything I am saying.
Ses01F_script02_2_M013,不，当然不是。,No. Of course not.
Ses01F_script02_2_F014,我确实想看它，我仍然想看，我总是想看。我只是...,"I did want to see it, I still do, I always do.  I just..."
Ses01F_script02_2_F015,我觉得我总是站在这里等待。我觉得今晚会是那个晚上，但实际上从来都不是。,"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is."
Ses01F_script02_2_M014,这只是鱼而已，没有什么需要受到创伤的。,"It's just fish, it's nothing to get traumatized over."
Ses01F_script02_2_F016,求求你，这不是关于鱼的事。,"For God's sake, this is not about fish."
Ses01F_script02_2_M015,好的。我正在尝试逆向思考，找出我们在这里走向最糟糕的那一刻。,Okay.  I'm trying to work this backwards and pinpoint the exact moment where we took a turn for the worst here.
Ses01F_script02_2_M016,好的。所以在玛吉打来电话的时候你还好，晚餐也还好。洗碗也还好，然后我要去洗澡，你在看新闻，你说今晚有鱼群出现，你想去吗？我说，当然好啊，我们去吧。,"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go."
Ses01F_script02_2_M017,好的。所以我要把宠物放出来，把车开出车库。,"Okay.  So I am putting out the pets, getting the car out of the garage."
Ses01F_script02_2_F017,你还记得我们第一年来这里吗？那是我们结婚后大约四年的时候。,Do you remember the first year we came here?  It was like four years after we got married.
Ses01F_script02_2_F018,我们以为我怀孕了，我们买了一瓶香槟，但没有杯子。我们脱掉鞋子，你让我跳舞。,"We thought I was pregnant, we got a bottle of champagne, we had no glasses.  We took off our shoes and you asked me to dance."
Ses01F_script02_2_F019,你在我耳边轻声细语，说出了最甜蜜、最亲密的话语，让我不仅能听到，还能感受到它们。我记得当时我想，就是这样了。你知道，终于，我像应该快乐一样。,"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be."
Ses01F_script02_2_M018,等一下，我明白了。,"Wait a minute, I got it."
