name,chinese,english
03bSnISJMiM_1,无论如何，它真的很好。,ANYHOW IT WAS REALLY GOOD
03bSnISJMiM_2,他们并没有真正做很多关于她为什么必须战斗和做好准备的背景信息。,THAY DID THEY DIDNT REALLY DO A WHOLE BUNCH OF BACKGROUND INFO ON WHY SHE HAS TO FIGHT AND BE PREPARED
03bSnISJMiM_3,我是说他们做了一点点,I MEAN THEY DID A LITTLE BIT OF IT
03bSnISJMiM_4,但不是一大堆,BUT NOT A WHOLE BUNCH
03bSnISJMiM_5,他们应该这么做，我猜。,AND THEY SHOULDVE I GUESS
03bSnISJMiM_6,他们应该更上一层楼,THEY SHOULDVE LIVE UP WITH MORE
03bSnISJMiM_7,并且XXX但除此之外，一切都相当不错,AND XXX BUT BESIDES THAT IT WAS ALL OVER PRETTY GOOD
03bSnISJMiM_8,并且就像有人在那里，那里有很多行动发生。,AND THERE IS LIKE SOMEONE WHILE SOMEONE THERE WAS A LOT OF ACTION
03bSnISJMiM_9,哦我的天，好多动作啊,OH MY GOD A LOT OF ACTION
03bSnISJMiM_10,这里有悲伤的部分,THERE IS SAD PART
03bSnISJMiM_11,很多悲伤的部分,A LOT OF SAD PARTS
03bSnISJMiM_12,但是它真的真的很棒,BUT IT WAS REALLY REALLY AWESOME
03bSnISJMiM_13,而且它真的很有趣,AND ITS A REALLY FUNNY
0h-zjBukYpk_1,电影的标题基本上已经说明了一切。,NOW THE TITLE OF THE MOVIE BASICALLY SAYS IT ALL
0h-zjBukYpk_2,现在我不打算美化这个事实，这部电影让我极度沮丧，以至于在电影结束时，我大声地质问为什么。,NOW IM NOT EVEN GONNA SUGAR COAT THIS THIS MOVIE FRUSTRATED ME TO SUCH AN EXTREME EXTENT THAT I WAS LOUDLY EXCLAIMING WHY AT THE END OF THE FILM
0h-zjBukYpk_3,我之所以成为漫画书迷的原因,MY REASON IM A COMIC BOOK FAN
0h-zjBukYpk_4,喜欢看到漫画角色被负责任地对待,THAT LIKE TO SEE COMIC BOOK CHARACTERS TREATED RESPONSIBLY
0h-zjBukYpk_5,在我们继续讨论之前，我必须说这部作品的演员阵容出人意料地不错。,THAT HUH BEFORE WE GO ON WITH THAT I MUST SAY THAT THIS HAD A SURPRISINGLY DECENT CAST
0h-zjBukYpk_6,奇怪的是，我对X战警系列最大的不满之一始终是XXX。,STRANGE SINCE ONE OF MY BIGGEST GRAPES WITH THE XMAN SERIES WAS AND ALWAYS IS THE XXX
