name,openset
sample_00000000,"['confused', 'helpless']"
sample_00000007,"['happy', 'satisfied']"
sample_00000021,"['positive', 'satisfied']"
sample_00000033,"['angry', 'confused']"
sample_00000039,"['happy', 'satisfied']"
sample_00000055,"['worry', 'anxiety']"
sample_00000068,"['angry', 'displeased']"
sample_00000070,"['anticipating', 'thinking', 'worried', 'happy', 'serious']"
sample_00000073,"['nervous', 'anxious', 'worried']"
sample_00000114,"['happy', 'relax']"
sample_00000118,"['discontent', 'anxiety']"
sample_00000126,"['slightly anxious', 'thinking', 'focused', 'serious']"
sample_00000153,"['happy', 'relax']"
sample_00000166,"['emotional involvement', 'focus', 'think']"
sample_00000174,"['pressure', 'worry']"
sample_00000176,"['fear', 'worry']"
sample_00000203,"['feeling lost', 'sadness', 'longing']"
sample_00000208,"['happy', 'joyful']"
sample_00000209,"['excited', 'looking forward to']"
sample_00000213,"['surprised', 'worried']"
sample_00000215,"['happy', 'carefree']"
sample_00000218,"['worry', 'anxiety']"
sample_00000220,"['surprised', 'worried']"
sample_00000225,"['confused', 'worried']"
sample_00000227,"['happy', 'joy']"
sample_00000240,"['angry', 'shocked']"
sample_00000246,"['pressure', 'determination', 'focus', 'think']"
sample_00000256,"['disappointment', 'regret']"
sample_00000258,[]
sample_00000276,"['pain', 'sadness', 'loss']"
sample_00000278,['hungry']
sample_00000286,"['depressed', 'disappointed']"
sample_00000294,"['happy', 'positive']"
sample_00000296,"['angry', 'disappointed']"
sample_00000325,"['anger', 'fear']"
sample_00000338,"['worry', 'anxiety']"
sample_00000342,"['shocked', 'surprised']"
sample_00000346,"['confused', 'contradiction']"
sample_00000353,"['nervous', 'anxious']"
sample_00000361,"['seriousness', 'contemplation', 'introspection']"
sample_00000363,"['concern', 'worry']"
sample_00000365,"['angry', 'disappointed']"
sample_00000368,"['confused', 'uneasy']"
sample_00000370,"['discontent', 'disappointed']"
sample_00000385,"['happy', 'satisfied']"
sample_00000388,"['angry', 'depressed']"
sample_00000393,"['support', 'comfort', 'emotional distress']"
sample_00000406,"['shy', 'excited', 'embarrassed']"
sample_00000407,"['entertainment', 'anger', 'shock', 'disgust', 'surprise']"
sample_00000420,"['joyful', 'easy', 'relaxed', 'satisfied', 'happy']"
sample_00000433,"['uncertainty', 'worry']"
sample_00000439,"['confused', 'surprised']"
sample_00000444,"['satisfaction', 'joy']"
sample_00000447,"['nostalgic', 'disappointed']"
sample_00000461,"['sadness', 'heaviness']"
sample_00000476,"['angry', 'hostile', 'anxious', 'depressed']"
sample_00000493,"['negative', 'sad', 'disappointed']"
sample_00000499,"['feeling stressed', 'nervousness', 'anxiety']"
sample_00000502,"['guilty', 'regretful']"
sample_00000508,"['angry', 'depressed']"
sample_00000515,"['angry', 'displeased']"
sample_00000518,"['unease', 'anxiety', 'worry']"
sample_00000519,"['angry', 'depressed']"
sample_00000529,"['anxiety', 'curiosity', 'worry']"
sample_00000535,"['sad', 'troubled', 'disappointed', 'angry']"
sample_00000536,"['emotional stability', 'alertness', 'balance', 'concern']"
sample_00000549,"['confused', 'puzzled']"
sample_00000561,"['satisfaction', 'joy']"
sample_00000569,"['depressed', 'disappointed']"
sample_00000571,"['happiness', 'satisfaction']"
sample_00000601,"['happiness', 'satisfaction']"
sample_00000602,"['thinking', 'uneasy', 'anxious', 'angry', 'depressed']"
sample_00000605,['happy']
sample_00000607,"['happy', 'satisfied']"
sample_00000613,"['confused', 'embarrassed']"
sample_00000623,"['focus', 'relax']"
sample_00000633,"['happy and satisfied', 'positive and friendly']"
sample_00000639,"['impatient', 'bored']"
sample_00000646,"['calm', 'focus']"
sample_00000648,"['annoyed', 'displeased']"
sample_00000653,"['worry', 'concern']"
sample_00000665,"['guilt', 'regret']"
sample_00000668,"['distrust', 'doubt']"
sample_00000669,"['humor', 'banter']"
sample_00000679,"['happy', 'satisfied']"
sample_00000680,"['appreciate', 'thank you']"
sample_00000686,"['positive', 'satisfied']"
sample_00000689,"['excited', 'surprised']"
sample_00000694,"['angry', 'disappointed']"
sample_00000716,"['happiness', 'satisfaction']"
sample_00000727,"['guilt', 'regret']"
sample_00000732,['nostalgia']
sample_00000741,"['guilt', 'anxiety']"
sample_00000774,"['happy', 'joyful']"
sample_00000788,"['alert', 'worry']"
sample_00000808,"['trouble', 'anxiety']"
sample_00000817,"['happy', 'excited', 'satisfied']"
sample_00000823,"['happy', 'excited', 'angry']"
sample_00000839,"['happy', 'positive']"
sample_00000855,"['angry', 'disappointed']"
sample_00000877,"['rest assured', 'satisfied']"
sample_00000881,"['happiness', 'peace']"
sample_00000884,"['hesitation', 'worry']"
sample_00000894,"['helpless', 'disappointed']"
sample_00000906,[]
sample_00000907,"['troubled', 'dissatisfied']"
sample_00000912,"['happy', 'troubled', 'discontent', 'satisfied']"
sample_00000927,"['happy', 'joyful']"
sample_00000956,"['excitement', 'curiosity', 'surprise', 'worry']"
sample_00000958,"['happy', 'grateful', 'satisfied']"
sample_00000960,"['discontent', 'disappointed']"
sample_00000972,"['accept', 'hesitation']"
sample_00000980,"['happy', 'entertainment', 'positive', 'satisfied']"
sample_00000987,"['angry', 'resolute']"
sample_00001000,"['determination', 'focus', 'pressure']"
sample_00001009,"['angry', 'depressed']"
sample_00001025,"['easy', 'relaxed', 'satisfied', 'happy', 'enjoy']"
sample_00001036,"['dissatisfied', 'dedicated', 'serious', 'worried']"
sample_00001039,"['unwilling to communicate with others', 'slight frustration']"
sample_00001043,"['happy', 'positive']"
sample_00001049,"['happy', 'positive']"
sample_00001055,"['play', 'relaxed']"
sample_00001068,"['confused', 'doubtful']"
sample_00001072,"['happy', 'pleased', 'satisfied']"
sample_00001073,"['entertainment', 'satisfaction', 'joy', 'positive', 'happy']"
sample_00001074,"['determination', 'reflection', 'fragile', 'introspection']"
sample_00001089,"['happy', 'satisfied']"
sample_00001090,"['positive emotions', 'satisfaction', 'joy']"
sample_00001097,"['confused', 'uncertain']"
sample_00001101,"['happy', 'satisfied']"
sample_00001110,"['happy', 'satisfied']"
sample_00001116,"['anxiety', 'depressed']"
sample_00001119,['angry']
sample_00001126,"['unfair', 'sadness']"
sample_00001132,"['happy', 'positive']"
sample_00001142,"['unease', 'anxiety']"
sample_00001146,"['confused', 'thinking']"
sample_00001152,"['humorous', 'excited']"
sample_00001155,"['anxiety', 'worry']"
sample_00001156,"['afraid', 'nervous', 'worried']"
sample_00001175,"['positive', 'comfortable', 'relaxed']"
sample_00001176,"['angry', 'disappointed']"
sample_00001178,"['pain', 'sadness']"
sample_00001184,"['confidence', 'relax']"
sample_00001189,"['negative', 'positive', 'disappointed or dissatisfied']"
sample_00001192,"['determination', 'firm']"
sample_00001198,"['angry', 'irritated']"
sample_00001199,['positive']
sample_00001203,[]
sample_00001205,"['anxiety', 'worry']"
sample_00001215,"['frustrated', 'disappointed']"
sample_00001245,"['excited', 'curious', 'surprised', 'unbelieving']"
sample_00001249,"['confused', 'refuse']"
sample_00001255,"['confident', 'positive']"
sample_00001260,['not good']
sample_00001269,"['angry', 'displeased']"
sample_00001282,"['happy', 'satisfied']"
sample_00001286,"['surprise', 'joy', 'worry']"
sample_00001288,"['happy', 'satisfied']"
sample_00001304,"['sad', 'frustrated', 'disappointed']"
sample_00001314,"['slight annoyance', 'disappointment']"
sample_00001327,['neutral']
sample_00001334,"['happy', 'understood', 'acknowledged', 'satisfied']"
sample_00001337,"['warmth', 'satisfaction', 'happy', 'affinity', 'sense of happiness', 'happiness']"
sample_00001340,"['angry', 'irritated', 'depressed']"
sample_00001345,"['angry', 'troubled']"
sample_00001346,"['angry', 'disappointed']"
sample_00001347,"['curious', 'interested', 'positive', 'worried', 'nervous']"
sample_00001350,"['nervous', 'urgent']"
sample_00001354,"['happy', 'satisfied']"
sample_00001371,"['worry', 'anxiety']"
