Epoch: [0][ 0/96]	Loss 2.0977 (2.0977)	Accuracy 16.406 (16.406)
Epoch: [0][10/96]	Loss 1.8579 (2.7320)	Accuracy 28.906 (31.392)
Epoch: [0][20/96]	Loss 1.8241 (2.3860)	Accuracy 32.031 (33.036)
Epoch: [0][30/96]	Loss 1.6921 (2.1885)	Accuracy 37.500 (34.904)
Epoch: [0][40/96]	Loss 1.8272 (2.0896)	Accuracy 35.156 (35.842)
Epoch: [0][50/96]	Loss 1.5536 (2.0115)	Accuracy 44.531 (36.719)
Epoch: [0][60/96]	Loss 1.7226 (1.9569)	Accuracy 36.719 (36.732)
Epoch: [0][70/96]	Loss 1.6358 (1.9136)	Accuracy 34.375 (36.961)
Epoch: [0][80/96]	Loss 1.6539 (1.8799)	Accuracy 37.500 (37.326)
Epoch: [0][90/96]	Loss 1.6570 (1.8577)	Accuracy 36.719 (37.397)
Test: [ 0/24]	Loss 2.5433 (2.5433)	Accuracy  0.000 ( 0.000)
Test: [10/24]	Loss 0.8522 (1.5707)	Accuracy 93.750 (55.398)
Test: [20/24]	Loss 1.6906 (1.6135)	Accuracy  3.125 (44.382)
 * Accuracy 39.081
Epoch: [1][ 0/96]	Loss 1.5811 (1.5811)	Accuracy 44.531 (44.531)
Epoch: [1][10/96]	Loss 1.6088 (1.5941)	Accuracy 41.406 (41.335)
Epoch: [1][20/96]	Loss 1.5684 (1.6242)	Accuracy 44.531 (38.839)
Epoch: [1][30/96]	Loss 1.4920 (1.6211)	Accuracy 43.750 (39.088)
Epoch: [1][40/96]	Loss 1.5802 (1.6075)	Accuracy 39.844 (39.520)
Epoch: [1][50/96]	Loss 1.5582 (1.6137)	Accuracy 42.969 (39.323)
Epoch: [1][60/96]	Loss 1.5745 (1.6157)	Accuracy 39.844 (39.588)
Epoch: [1][70/96]	Loss 1.4871 (1.6119)	Accuracy 43.750 (39.679)
Epoch: [1][80/96]	Loss 1.5836 (1.6106)	Accuracy 40.625 (39.747)
Epoch: [1][90/96]	Loss 1.7151 (1.6157)	Accuracy 33.594 (39.320)
Test: [ 0/24]	Loss 2.5454 (2.5454)	Accuracy  0.000 ( 0.000)
Test: [10/24]	Loss 0.8651 (1.6245)	Accuracy 87.500 (54.261)
Test: [20/24]	Loss 1.5387 (1.5958)	Accuracy 12.500 (43.638)
 * Accuracy 39.668
Epoch: [2][ 0/96]	Loss 1.6454 (1.6454)	Accuracy 32.812 (32.812)
Epoch: [2][10/96]	Loss 1.5755 (1.6262)	Accuracy 46.875 (38.139)
Epoch: [2][20/96]	Loss 1.5718 (1.6059)	Accuracy 42.969 (39.658)
Epoch: [2][30/96]	Loss 1.4918 (1.6133)	Accuracy 46.875 (39.945)
Epoch: [2][40/96]	Loss 1.6641 (1.6179)	Accuracy 35.156 (39.825)
Epoch: [2][50/96]	Loss 1.6501 (1.6096)	Accuracy 28.906 (39.844)
Epoch: [2][60/96]	Loss 1.5775 (1.6028)	Accuracy 39.062 (39.895)
Epoch: [2][70/96]	Loss 1.6859 (1.6004)	Accuracy 35.156 (39.635)
Epoch: [2][80/96]	Loss 1.5321 (1.5992)	Accuracy 48.438 (39.747)
Epoch: [2][90/96]	Loss 1.5239 (1.5968)	Accuracy 44.531 (39.663)
Test: [ 0/24]	Loss 1.9437 (1.9437)	Accuracy  1.562 ( 1.562)
Test: [10/24]	Loss 1.2507 (1.7159)	Accuracy 67.969 (41.619)
Test: [20/24]	Loss 1.7764 (1.6587)	Accuracy  9.375 (40.923)
 * Accuracy 36.832
Epoch: [3][ 0/96]	Loss 1.6092 (1.6092)	Accuracy 36.719 (36.719)
Epoch: [3][10/96]	Loss 1.5471 (1.5691)	Accuracy 42.969 (39.773)
Epoch: [3][20/96]	Loss 1.5168 (1.5590)	Accuracy 41.406 (40.997)
Epoch: [3][30/96]	Loss 1.5611 (1.5591)	Accuracy 39.062 (40.902)
Epoch: [3][40/96]	Loss 1.5335 (1.5616)	Accuracy 42.969 (41.082)
Epoch: [3][50/96]	Loss 1.6240 (1.5668)	Accuracy 37.500 (40.472)
Epoch: [3][60/96]	Loss 1.6209 (1.5740)	Accuracy 35.938 (40.113)
Epoch: [3][70/96]	Loss 1.6435 (1.5730)	Accuracy 36.719 (40.031)
Epoch: [3][80/96]	Loss 1.6395 (1.5744)	Accuracy 39.062 (39.902)
Epoch: [3][90/96]	Loss 1.6540 (1.5780)	Accuracy 41.406 (39.878)
Test: [ 0/24]	Loss 2.3803 (2.3803)	Accuracy  0.000 ( 0.000)
Test: [10/24]	Loss 0.8981 (1.5715)	Accuracy 89.844 (52.841)
Test: [20/24]	Loss 1.6195 (1.5771)	Accuracy 17.969 (43.676)
 * Accuracy 40.711
Epoch: [4][ 0/96]	Loss 1.5405 (1.5405)	Accuracy 39.062 (39.062)
Epoch: [4][10/96]	Loss 1.5884 (1.5740)	Accuracy 35.156 (39.062)
Epoch: [4][20/96]	Loss 1.6510 (1.5817)	Accuracy 32.812 (38.579)
Epoch: [4][30/96]	Loss 1.5845 (1.5755)	Accuracy 41.406 (39.567)
Epoch: [4][40/96]	Loss 1.5848 (1.5790)	Accuracy 41.406 (39.539)
Epoch: [4][50/96]	Loss 1.5384 (1.5711)	Accuracy 46.094 (40.104)
Epoch: [4][60/96]	Loss 1.4725 (1.5672)	Accuracy 52.344 (40.471)
Epoch: [4][70/96]	Loss 1.7539 (1.5718)	Accuracy 28.125 (40.152)
Epoch: [4][80/96]	Loss 1.5740 (1.5701)	Accuracy 39.062 (40.191)
Epoch: [4][90/96]	Loss 1.6453 (1.5714)	Accuracy 32.031 (40.101)
Test: [ 0/24]	Loss 1.9995 (1.9995)	Accuracy  7.031 ( 7.031)
Test: [10/24]	Loss 0.9642 (1.5112)	Accuracy 86.719 (52.131)
Test: [20/24]	Loss 1.8510 (1.5557)	Accuracy  9.375 (44.903)
 * Accuracy 40.091
Epoch: [5][ 0/96]	Loss 1.5346 (1.5346)	Accuracy 42.188 (42.188)
Epoch: [5][10/96]	Loss 1.5911 (1.5290)	Accuracy 32.812 (40.838)
Epoch: [5][20/96]	Loss 1.5019 (1.5278)	Accuracy 44.531 (41.481)
Epoch: [5][30/96]	Loss 1.4815 (1.5363)	Accuracy 45.312 (41.356)
Epoch: [5][40/96]	Loss 1.6916 (1.5403)	Accuracy 35.156 (41.006)
Epoch: [5][50/96]	Loss 1.4011 (1.5448)	Accuracy 42.969 (40.778)
Epoch: [5][60/96]	Loss 1.5077 (1.5519)	Accuracy 42.969 (40.625)
Epoch: [5][70/96]	Loss 1.4468 (1.5532)	Accuracy 47.656 (40.526)
Epoch: [5][80/96]	Loss 1.5231 (1.5535)	Accuracy 44.531 (40.741)
Epoch: [5][90/96]	Loss 1.3837 (1.5505)	Accuracy 47.656 (40.968)
Test: [ 0/24]	Loss 2.2905 (2.2905)	Accuracy  2.344 ( 2.344)
Test: [10/24]	Loss 1.0585 (1.6047)	Accuracy 60.938 (40.625)
Test: [20/24]	Loss 1.2737 (1.5661)	Accuracy 51.562 (40.179)
 * Accuracy 41.460
Epoch: [6][ 0/96]	Loss 1.4751 (1.4751)	Accuracy 44.531 (44.531)
Epoch: [6][10/96]	Loss 1.5232 (1.5089)	Accuracy 42.188 (43.324)
Epoch: [6][20/96]	Loss 1.5968 (1.5319)	Accuracy 39.062 (41.890)
Epoch: [6][30/96]	Loss 1.5306 (1.5283)	Accuracy 42.188 (42.112)
