name,chinese,english
video_0001_0001,我不想嫁给李茶,I don't want to marry Li Cha.
video_0001_0002,你这是嫁入豪门啊！,You are marrying into a wealthy family!
video_0001_0003,我不想嫁入什么豪门，我们不就是豪门吗？,I don't want to marry into any wealthy family. Aren't we already a wealthy family?
video_0001_0004,有那么明显吗？,Is it that obvious?
video_0001_0005,我在这消费这么多钱，我低血糖吃块糖还不行了,"I spent so much money here, I can't even eat a piece of candy for low blood sugar."
video_0001_0006,够了，每次都是这一套，我不想再听了。,"Enough, it's always the same thing every time, I don't want to hear it anymore."
video_0001_0007,我刚才信号不好，现在可以了，怎么样，妈，公司给我安排的海景别墅楼。,"The signal was bad just now, but it's fine now. How about it, Mom? The company arranged a seaside villa for me."
video_0001_0008,我刚才是一害怕我就跟王安迪撒了个谎,"I was scared just now, so I lied to Wang Andy."
video_0001_0009,说到演讲啊，我不禁想起了我在我的母校。,"Speaking of speeches, I can't help but think of my alma mater."
video_0001_0010,经理经理，别忘了我那五十万和副科长。,"Manager, manager, don't forget my 500,000 and the deputy section chief."
video_0001_0011,友德读懂了您对我的暗示。,Youde understood your hint to me.
video_0001_0012,这个神经病,This crazy person.
video_0001_0013,有人假扮我，我要把事情弄清楚。,"Someone impersonated me, I need to clarify the situation."
video_0001_0014,觉得委屈你就走呗。,"If you feel wronged, just leave."
video_0001_0015,我实话跟你说吧，我们家破产了。,"To be honest with you, our family has gone bankrupt."
video_0001_0016,我爸想自杀骗保，追求莫妮卡是我爸活下去的唯一希望,"My dad wants to fake suicide for insurance fraud, pursuing Monica is the only hope for my dad to survive."
video_0001_0017,到干妈的公司来做CEO啊，对对对，年薪一个亿,"Come to my godmother's company and become the CEO, yes, yes, with an annual salary of one billion."
video_0001_0018,哦，对对对，她身份很特别，不想让我张扬出去。,"Oh, yes, yes, yes, her identity is very special, she doesn't want me to publicize it."
video_0001_0019,我说就算你给我一个亿我都不乐意，我就想在大渣集团干到断气,"Even if you give me one billion, I still wouldn't be willing. I just want to work at Da Zha Group until I die."
video_0001_0020,我的话不好使吗？,My words don't work?
video_0001_0021,巧了，人事科正好缺了一个副科长。,"It's a coincidence, the Personnel Department happens to be missing a deputy director."
video_0001_0022,副科长还一步登天，我今天要不混上个正科长，我都对不起自己这顿折腾。,"The deputy section chief is making rapid progress. If I don't become a regular section chief today, I will feel sorry for all the efforts I have made."
video_0001_0023,黄先生我都听说了，我的干儿子沧海被你提升为副科长。,"Mr. Huang, I have heard that you have promoted my godson, Canghai, to the position of deputy section chief."
video_0001_0024,这样吧，你自己说说，咱们集团什么职位比较轻松啊！,"So, why don't you tell me, which position in our group is relatively easy?"
video_0001_0025,我们想找你聊聊。,We want to talk to you.
video_0001_0026,你觉得他该怎么办啊,What do you think he should do?
video_0001_0027,但是您现在可以卖身救集团，干还是不干是吧？,"But now you can sell yourself to save the group, will you do it or not?"
video_0001_0028,尊严丢了，整个人就破产了,"Dignity is lost, the whole person is bankrupt."
video_0001_0029,在他们眼里，莫妮卡根本就不是一个人，而是一堆钞票。,"In their eyes, Monica is not a person at all, but a pile of money."
video_0001_0030,大渣集团的小职员？,Small employee of Da Zha Group?
video_0001_0031,不是都快破产了吗,Isn't it almost bankrupt?
video_0001_0032,咱俩都得烧死,We both have to burn to death.
video_0001_0033,我只是希望每个明天你都在。,I just hope that you are there every tomorrow.
video_0001_0034,明天我在，后天就不一定了。,"I will be here tomorrow, but I may not be here the day after tomorrow."
video_0001_0035,我根本就不想嫁给你。,I simply don't want to marry you.
video_0002_0001,也不知道是贵球队的哪位领导，在茫茫人海中一眼就叨中了我这只老妖精,"I don't know which leader of your team it is, but they spotted me, an old fairy, in the vast sea of people at a glance."
video_0002_0002,这菜还没凉，要不吃点？,"This dish is not cold yet, do you want to eat some?"
video_0002_0003,你说的那些都是我的业余爱好,The things you said are all my hobbies.
video_0002_0004,我认为你没有理由拒绝。,I think you have no reason to refuse.
video_0002_0005,你们就一个球都别想进,Don't even think about scoring a single goal.
video_0002_0006,咱们球队上上下下都是非常信任你，认为你就是能力不行。,"Our team trusts you from top to bottom, but believes that your abilities are lacking."
video_0002_0007,好聚好散，有时间回来看一看。,"Good to gather, good to disperse. Come back and take a look when you have time."
video_0002_0008,必须留下，他要是走了，我也不干了,"I have to stay, if he leaves, I won't do it either."
video_0002_0009,你们不要太嚣张了。,Don't be too arrogant.
video_0002_0010,我没事儿，他们应该也不是故意的。,"I'm fine, they probably didn't mean it on purpose."
video_0002_0011,别听他颠倒黑白啊，我们就是故意的,"Don't listen to him twisting the truth, we did it on purpose."
video_0002_0012,你要非要感谢，那你把我签了也行。,"If you really want to thank me, you can sign me up as well."
video_0002_0013,知不知道你爷爷其实有一个弟弟。,Do you know that your grandfather actually has a younger brother?:
video_0002_0014,哎，先别太激动。,"Hey, calm down for a moment."
video_0002_0015,王多鱼，我是你二爷。,"Wang Duoyu, I am your second uncle."
video_0002_0016,当我知道你是我唯一继承人的时候，我他妈差不多就直接哏屁了你这个孙子诶,"When I found out that you are my only heir, I almost couldn't help but curse you, you little grandson."
video_0002_0017,如果放弃选择的话，那这三百亿怎么处置？,"If we give up the option, how will we handle the three hundred billion?"
video_0002_0018,那将会由殷先生和赖先生的基金会打理。,It will be managed by Mr. Yin and Mr. Lai's foundation.
video_0002_0019,你那点财务还需要助理,You still need an assistant for your finances.
video_0002_0020,你放心，你的猪脑我另作他用。,"Don't worry, I will find another use for your pig brain."
video_0002_0021,我这是自家小球队，我也没有办法。,"This is my own small team, and I have no way either."
video_0002_0022,但是要全包进来，一天起码也有十几万。,"But it has to be all-inclusive, at least hundreds of thousands per day."
video_0002_0023,非常理解您想请朋友们把酒言欢的心情。,I really understand your desire to have a joyful gathering with friends over drinks.
video_0002_0024,您实在是太精明了，一时间我竟无言以对。,"You are really clever, for a moment I was speechless."
video_0002_0025,我看你跟王老板关系那么好，他没赏你个啥挣钱的职位？,I see that you have such a good relationship with Boss Wang. Hasn't he rewarded you with a lucrative position to make money?
video_0002_0026,你说那个，你还是没有一技之长，就是大款身边的狗腿子呗，哈哈哈哈,"You said that, you still don't have any special skills, just a lackey by the side of a rich person, haha"
video_0002_0027,我工作以来从来没有算错过任何一笔账，我不会因为你而破例,"Since I started working, I have never made a mistake in any account. I will not make an exception because of you."
video_0002_0028,王多鱼是我哥们，你们总说我是他身边的一条狗,"Wang Duoyu is my buddy, you guys always say I am his sidekick."
video_0002_0029,不太理想，话题太高端。,"Not ideal, the topic is too high-end."
video_0002_0030,王先生，你忘了我刚跟你说半年的事。,"Mr. Wang, you forgot what I just told you half a year ago."
video_0002_0031,我之前在法国专门选修过庭院设计，纯属爱好。,"I previously specialized in courtyard design in France, purely out of interest."
video_0002_0032,为什么算了，这么好的院子哪能就这么算了。,Why give up? How can such a good yard be given up just like that?
video_0002_0033,那你好好做你的园丁，别再来找我了。,Then you do your gardening well and don't come to me again.
video_0002_0034,明天早上我来上班，工具我那儿都齐。,"Tomorrow morning I will come to work, and I have all the tools with me."
video_0002_0035,我给你两分钟，你给我好好介绍一下，你怎么得的精神病,"I'll give you two minutes, and you better give me a good introduction on how you got schizophrenia."
video_0002_0036,王总您放心，我已经在最高点套现了，这次收益起码一个亿。,"Mr. Wang, rest assured, I have cashed out at the highest point. This time, the profit is at least one billion."
video_0002_0037,他可是资本市场良心啊,He is the conscience of the capital market.
video_0002_0038,他变了，他竟然开始嫉妒我的才华。,"He has changed, he has actually started to envy my talent."
video_0003_0001,当然，也不能说是百分之百,"Of course, it can't be said to be 100%."
video_0003_0002,你看都这个样了，那什么时候才能见好啊！,"You see, it's already like this. When will it get better?"
video_0003_0003,有你这样教育孩子的吗？,Is there anyone who educates children like you?
video_0003_0004,我真不想看电影了。,I really don't want to watch a movie anymore.
video_0003_0005,我什么都可以不要，我不去欧洲了，我不要LV了，我也不换车了。,"I don't want anything, I'm not going to Europe anymore, I don't want LV anymore, and I'm not changing cars either."
video_0003_0006,这事结婚前咱俩不是说好了？,Didn't we agree on this before getting married?
video_0004_0001,不耽误不耽误，这是应该的，您捐钱给我们建新校舍。,"No problem, this is what should be done. You donate money to us to build a new school building."
video_0004_0002,这车窗是你砸的吧？,Did you break this car window?
video_0004_0003,那就抱歉了，我也不知道你女儿在哪,"I'm sorry, I don't know where your daughter is either."
video_0005_0001,这不有病吗这,Isn't this sick?
video_0005_0002,不是，我是真觉得咱们应该讨论讨论,"No, I really think we should discuss it."
video_0005_0003,您怎么会觉得他没错,How can you think he is not wrong?
video_0005_0004,我们是倍儿严肃认真的认为他有罪,We are very serious and firmly believe that he is guilty.
video_0005_0005,如果没有不同意的，我们现在就开始啊,"If there is no objection, let's start now."
video_0005_0006,这一般人家的孩子是真干不出来。,This child from an ordinary family really can't do it.
video_0005_0007,心情不好能作为自己不在场的证明吗,Can a bad mood serve as evidence of one's absence?
video_0005_0008,这就是我赞赏你态度的原因。,This is the reason why I appreciate your attitude.
video_0005_0009,这典型一好孩子这是。,This is a typical good child.
video_0005_0010,有你什么事啊？,What's the matter with you?
video_0005_0011,活了74岁了。,I have lived for 74 years.
video_0005_0012,他一穿着破衣服的老头。,He is an old man wearing tattered clothes.
video_0005_0013,人跟你不一样，人家有的是钱,"People are different from you, they have money."
video_0005_0014,哎，这个大哥肯定是一清二楚,"Hey, this big brother definitely knows everything clearly."
video_0005_0015,所有的证据证人全是对的,All the evidence and witnesses are correct.
video_0005_0016,用脑子想想就应该发现这里边有问题。,Use your brain and you should realize that there is a problem here.
video_0005_0017,我不关心怎么了,I don't care what happened.
video_0006_0001,嗨，大家就叫我小王吧,"Hi, you can just call me Xiaowang."
video_0006_0002,就在这咸鱼翻身的日子里边,In this day of turning over a new leaf.
