name,chinese,english
train_dia0_utt0,我还是公司从KL-5系统过渡到GR-6系统的负责人。,also I was the point person on my company's transition from the KL-5 to GR-6 system.
train_dia0_utt1,你一定忙得不可开交。,You must've had your hands full.
train_dia0_utt2,我做了。我做了。,That I did. That I did.
train_dia0_utt3,所以让我们谈一下你的职责。,So let's talk a little bit about your duties.
train_dia0_utt4,我的职责？好的。,My duties?  All right.
train_dia0_utt5,现在你将负责一个整个部门，所以你将有很多职责。,"Now you'll be heading a whole division, so you'll have a lot of duties."
train_dia0_utt6,我明白了。,I see.
train_dia0_utt7,但是你可能会有30个人在你下面，所以你可以把一定数量的事情交给他们。,But there'll be perhaps 30 people under you so you can dump a certain amount on them.
train_dia0_utt8,好好知道。,Good to know.
train_dia0_utt9,我们可以详细讨论,We can go into detail
train_dia0_utt10,不，不要，我求求你！,No don't I beg of you!
train_dia0_utt11,好的，那么我们会在星期一给您一个明确的答复，但我可以有一些信心地说，您在这里会适应得很好。,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here."
train_dia0_utt12,真的吗？！,Really?!
train_dia0_utt13,当然可以。你可以放松了。,Absolutely.  You can relax
train_dia1_utt0,但是接下来是谁呢？是上个月我约会过的那个女服务员吗？,But then who? The waitress I went out with last month?
train_dia1_utt1,你知道吗？算了吧！,You know? Forget it!
train_dia1_utt2,不-不-不-不，不！你在谈论谁？,"No-no-no-no, no! Who, who were you talking about?"
train_dia1_utt3,不，我-我-我-我不知道，实际上我不知道。,"No, I-I-I-I don't, I actually don't know"
train_dia1_utt4,好的！,Ok!
train_dia1_utt5,好的，嗯...,"All right, well..."
train_dia1_utt8,是的，当然！,"Yeah, sure!"
train_dia2_utt0,嘿，孟。,"Hey, Mon."
train_dia2_utt1,嘿-嘿-嘿。你想听一些糟糕的事吗？,Hey-hey-hey. You wanna hear something that sucks.
train_dia2_utt2,我真的吗。,Do I ever.
train_dia2_utt3,克里斯说他们要关闭酒吧。,Chris says they're closing down the bar.
train_dia2_utt4,没门！,No way!
train_dia2_utt5,是的，显然他们要把它变成某种咖啡店。,"Yeah, apparently they're turning it into some kinda coffee place."
train_dia2_utt6,只是咖啡！我们现在要去哪里聚会？,Just coffee! Where are we gonna hang out now?
train_dia2_utt7,明白了。,Got me.
train_dia2_utt8,我可以要一杯啤酒吗？,Can I get a beer.
train_dia2_utt9,嘿，你选好室友了吗？,"Hey, did you pick a roommate?"
train_dia2_utt10,你说对了！,You betcha!
train_dia2_utt11,这是意大利人吗？,Is it the Italian guy?
train_dia2_utt12,嗯，是的！,"Um-mm, yeah right!"
train_dia3_utt0,哦，我的天啊，哦，我的天啊！可怜的莫妮卡！,"Oh my God, oh my God! Poor Monica!"
train_dia3_utt1,什么，什么，什么？！,"What, what, what?!"
train_dia3_utt2,什么？！,What?!
train_dia3_utt3,他在写这首诗时和她在一起。,He was with her when he wrote this poem.
train_dia3_utt4,看，我的船只是空的，里面什么都没有。,"Look,  'My vessel so empty with nothing inside."
train_dia3_utt5,现在我触碰了你，你似乎更加空虚。,"Now that I've touched you, you seem emptier still.'"
train_dia3_utt6,他认为莫妮卡是空洞的，她就是一个空花瓶！,"He thinks Monica is empty, she is the empty vase!"
train_dia3_utt8,哦，完全是。哦，天啊，哦，她看起来那么开心。,"Oh, totally. Oh, God, oh, she seemed so happy too."
train_dia3_utt9,完成。,Done.
train_dia4_utt0,嘿！,Hey!
train_dia4_utt1,嗨！,Hi!
train_dia4_utt2,你在这里做什么？,What are you doing here?
train_dia4_utt3,啊，你知道的，这座建筑物在我的报纸投递路线上，所以我...,"Ah y'know, this building is on my paper route so I..."
train_dia4_utt4,哦。,Oh.
train_dia4_utt5,嗨。,Hi.
train_dia4_utt6,嗨。,Hi.
train_dia4_utt7,它怎么样了？,How'd did it go?
train_dia4_utt8,噢，好吧，我面试的那个女人相当难缠，但你知道，多亏了马克的指导，因为一旦我开始谈论秋季系列，她就变得很开心，而且一直都不停地说个不停。,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up."
train_dia4_utt9,我为你感到非常骄傲。,I'm so proud of you.
train_dia4_utt10,我也是！,Me too!
train_dia4_utt11,听着，我，我很抱歉我一直这么疯狂和嫉妒，只是因为我很喜欢你，所以...,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so..."
train_dia4_utt12,我知道。,I know.
train_dia4_utt13,是的。,Yeah.
train_dia4_utt14,是的。,Yeah.
train_dia5_utt0,美国人。,Ameri-can.
train_dia5_utt1,美国人。,Ameri-ccan.
train_dia5_utt2,美国人。你知道，这是一个,Ameri-can. Y'know it's a
train_dia5_utt3,大家好！,Everybody!!
