name,chinese,english
sample_00004659,你看这欧阳也要结婚了，你也得重新安排你自己了。,"Look, Ouyang is getting married too, you also need to rearrange yourself."
sample_00000227,那当然啦。,Of course.
sample_00005887,哟！都吃完了。,Yo! Everything is finished eating.
sample_00005283,,
sample_00005715,,
sample_00006305,你又不是不知道，这件事情在科里，怎么都好说，一闹到院里,"You know very well, this matter can be easily discussed within the department, but it becomes complicated once it reaches the institute."
sample_00005200,也不让我跟你说，钱是他给的,He also doesn't allow me to tell you that the money was given by him.
sample_00006757,谁这杆打得远，算谁赢。,"Whoever hits this rod the farthest, wins."
sample_00001444,黄伟业，你下来，你靠谱不靠谱啊，你给谷清联系的什么破演出啊。,"Huang Weiyi, come here, are you reliable or not? What kind of lousy performance did you arrange for Gu Qing?"
samplenew_00059701,,
sample_00004147,考虑不周全，人命关天你知道吗？,"You should know that life is paramount, right? Your consideration is not thorough enough."
samplenew_00032196,可是个好客的贤君哪，哈哈哈哈,"But he is a hospitable and virtuous king, hahaha."
sample_00001392,那也轮不到他提呀！我就是要去问问他，他的良心是不是被狗吃了。,It's not his turn to bring it up! I just want to ask him if his conscience has been eaten by a dog.
sample_00001942,道个歉有那么难吗？人家那是条命，要是真觉着没错，就让人家起诉去。,"Is it so difficult to apologize? That is a matter of life. If you really think you are not wrong, let them sue."
sample_00006354,对不起啊，一直在忙，不生气吧。,"Sorry, I've been busy. Don't be angry."
samplenew_00048788,我发现，我儿子条件不错。,I found that my son is in good condition.
sample_00006506,啊，你谢谢我，谢我什么呀，我也没为你做什么。,"Ah, you thank me, what are you thanking me for? I didn't do anything for you."
sample_00001184,像我爸爸他就属于比较会打的。,My dad is one of those who can fight well.
sample_00002052,这，突然，恶心。,"This, suddenly, is nauseating."
sample_00001551,你说哪儿呢，我从来就没有记恨过你。,Where are you getting that from? I have never held a grudge against you.
sample_00006399,我知道，你肯定有办法，你呢，旁敲侧击的，帮我好好地劝劝她。,"I know, you definitely have a way. How about you, indirectly, help me persuade her properly."
sample_00006736,你想啊，我们是因狗而结缘，所以觉得跟狗在一起特别开心。,"You see, our bond was formed because of a dog, so being with a dog makes us especially happy."
sample_00000676,出去右转有洗手间，你可以在那洗洗脸。,"Turn right when you go out and you will find the restroom, where you can wash your face."
samplenew_00061723,这个一江山岛，是上下大陈岛的前沿，是互相依托的关系。,"This Yijiangshan Island is the forefront of the Shangxia Dachen Island, and they share a mutually dependent relationship."
sample_00006562,领队说你在这，我就来了。,"The team leader said you were here, so I came."
sample_00001857,我现在做的，以后做的，都是我自愿的。,What I'm doing now and what I'll do in the future are all voluntary.
sample_00001818,被缠得口无择言了，想要什么答案就给她什么答案了。,"Being so entangled that I was at a loss for words, I just gave her whatever answer she wanted."
sample_00001312,我就奇了怪了，自从于小强搬到我们家，鲍家明就像换了一个人一样。,"I'm really puzzled. Ever since Yu Xiaoqiang moved into our house, Bao Jiaming has been acting like a completely different person."
sample_00004581,喂，现场布置尽量用芍药和百合。,"Hello, please try to use peonies and lilies for the on-site decoration as much as possible."
samplenew_00027455,听着啊，谁都甭开枪，人家没对咱开咱也不能开，这是规矩。,"Listen, no one should fire a gun. If they don't fire at us, we can't fire at them. That's the rule."
sample_00003875,讲心里话吧，这一辈子，嫂子最感激的人其实是你。,"To tell you the truth, in this lifetime, the person my sister-in-law is most grateful for is actually you."
sample_00005923,苗子会不会知道这个藏宝图的秘密？,Will Miaozi know the secret of this treasure map?
sample_00000297,等着，老子早晚让你滚蛋。,"Wait, I'll make you leave sooner or later."
sample_00005179,可是如果你愿意留下来，我不知道能给你什么样的生活？但是如果你愿意试试看，,"But if you're willing to stay, I don't know what kind of life I can offer you. But if you're willing to try,"
sample_00006381,《红色娘子军》吴清华呀。,"""The Red Detachment of Women"" by Wu Qinghua."
sample_00005391,你没有听说过有一句话叫穷开心吗？,"Haven't you heard of the saying ""happy in poverty""?"
sample_00005364,诶，那个，张霆这几天住哪儿了？,"Um, hey, where has Zhang Ting been staying these days?"
sample_00003490,这冰糖谁买的？,Who bought this rock sugar?
sample_00004161,你是不是根本就不在乎我？,Don't you care about me at all?
sample_00004191,什么陷阱啊，大姑怕你天天吃泡面，吃坏了身体，你不知好歹。,"What a trap! Your aunt is worried that you'll eat instant noodles every day and ruin your health, but you don't appreciate it."
sample_00002864,,
sample_00006445,宋其的爸爸，在出海的时候死了。,Song Qi's father died while he was at sea.
samplenew_00069524,修桥筑路，扶贫助学。,"Building bridges and roads, aiding the poor and supporting education."
sample_00003635,嗯，我们一家人要在一起。,"Yep, our family should stick together."
sample_00003672,诶，不一定哦。,"Eh, not necessarily."
sample_00004660,喂，你还好吗？,"Hey, are you okay?"
sample_00000934,他自己私自外出，害得我们开天窗。,"He went out on his own secretly, causing us to be left in the lurch."
sample_00002824,对于自己喜欢的东西，我也会不择手段。,I will stop at nothing for the things I love.
sample_00001097,您这，摸什么呢？,What are you touching here?
samplenew_00065166,七老爷那病歪歪的，你们到不说消停一会儿。,"Lord Qi is seriously ill, can't you guys just quiet down for a moment?"
samplenew_00044156,真乃大丈夫也。好，李团长，就听你的。,"Truly a great man indeed. Alright, Captain Li, we'll follow your lead."
sample_00005493,你记不记得我问过你？假如你的父母亲还活着,Do you remember me asking you? If your parents were still alive
sample_00002212,这样你能好过点，是吗？,"You would feel better this way, wouldn't you?"
sample_00002190,,
sample_00005605,你怎么来啦？,How did you get here?
sample_00005996,关于菲米娜广告专员的事，你是人事部的主管，你应该知道，公司人员晋升应该有一定程序吧。,"Regarding the matter of the Femina advertising executive, as the head of the HR department, you should be aware that there should be a certain procedure for staff promotions, right?"
sample_00005881,你就这么看着我。,You're just looking at me like this.
samplenew_00054978,从本质上讲，还是需要资本方给他们提供股份垫资。,"Essentially, they still need the capital side to provide them with equity financing."
sample_00002156,这位太太，您想看什么户型的房子？,"Madam, what type of house layout are you interested in?"
samplenew_00070977,小雨，我替我爷爷给你姥姥写了封道歉信，您转交给他吧。,"Xiaoyu, I wrote an apology letter on behalf of my grandfather to your grandmother. Please pass it on to her."
sample_00003081,怎么会呢？就吃了点水果？,How come? Just had some fruits?
samplenew_00041198,但加征税赋兵丁的诏令已下,But the decree to impose taxes and conscript soldiers has already been issued.
sample_00006191,你要是觉得在这儿不方便，医院附近有个咖啡馆，我可以去那儿等你，但是你下班必须过来。,"If you find it inconvenient here, there is a cafe near the hospital. I can wait for you there, but you must come over after work."
samplenew_00005510,你这般破坏规矩，比阴谋诡计好不了多少。,Your disregard for rules is not much better than scheming and plotting.
sample_00005893,那这面子有点大呀，你这老胳膊老腿还行吗？要不我帮帮你,"This task seems quite big, are your old arms and legs still up for it? How about I give you a hand?"
sample_00002425,如果真的是这样，也许分开不是一件坏事。,"If that's really the case, maybe parting ways isn't a bad thing."
samplenew_00002391,小雨，阿姨觉得你是个特别聪明的孩子。,"Xiao Yu, Auntie thinks you are a particularly intelligent child."
sample_00001710,,
sample_00000388,我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。,"I don't think I'm very important, I just don't understand why you hurt me like this."
sample_00004996,小关，小关不懂事，人家说什么她都信。,"Xiao Guan, Xiao Guan is naive, she believes whatever people tell her."
sample_00000019,喝多了伤身，不喝多我伤心呐。,"Drinking too much hurts the body, but not drinking enough hurts my heart."
sample_00001329,太客气了是吧！我呀，本来不想给你们太大的压力。我觉得即便是面对高考，保持轻松、愉快的心情，成绩反而会提高。今天，你们一个个地用实际行动向我证明，你们就是一群懒驴。,"You're too polite, aren't you! Well, I didn't want to put too much pressure on you. I think even when facing the college entrance examination, maintaining a relaxed and happy mood can actually improve your performance. Today, you have proven to me with your actions that you are a bunch of lazy donkeys."
sample_00000311,我得请你吃顿饭哪,I have to invite you for a meal.
sample_00002019,得嘞，就这么着啊。,"Alright, so that's how it is."
samplenew_00024972,洗澡，一起？,"Taking a bath, together?"
samplenew_00000203,上将军，末将请夫卫国，将这个狂徒，从他父母坟前拿回。,"General, I, your humble servant, request to defend our country and retrieve this madman from the grave of his parents."
sample_00005860,是这样的，大婶说，有个女的专门给他们送去了二十万。,"The thing is, the aunt said, a woman specifically delivered two hundred thousand to them."
samplenew_00046637,你突然这样跟我说话，我有点束手无惊啊。,"You suddenly speaking to me like this, I'm a bit taken aback."
sample_00004255,他没你聪明，他可能什么都没你好。,"Maybe he's not as smart as you are, maybe he's not better than you in any way."
sample_00005106,你这叫什么破话呀。,What nonsense are you talking about?
sample_00002432,后来我长大我明白了，我姥姥说李林，你妈一个人带着你，没有人帮你，你自己摔倒了，你自己不站起来，谁帮你呀。,"Later when I grew up, I understood. My grandmother said, ""Li Lin, your mother is raising you alone, with no one to help you. If you fall down, if you don't stand up by yourself, who will help you?"""
sample_00003194,我不太方便亲自去跟他们谈判，要拜托你了。,"I'm not very convenient to negotiate with them in person, I have to ask you to do it."
sample_00000771,丁总，找我有事？,"Mr. Ding, do you need something from me?"
sample_00005126,让你想起来，姐在太平洋这头罩着你。,"Reminding you, your sister is here on this side of the Pacific, watching over you."
sample_00003545,爱过什么爱过，什叫底线啊？就她这样的人，跟我哥都不是一路人你知道吗？,"What is love, what is the bottom line? Do you know that she, as a person, is not on the same path as my brother?"
sample_00002132,我去拍照片去，我拍动物，我拍人，我就心花怒放。,"I go to take photos, and when I take pictures of animals and people, I am very happy."
samplenew_00024643,喜欢人不犯法，可我也只能到喜欢为止了。,"Liking someone is not a crime, but I can only go as far as liking."
samplenew_00040703,曾三揖，每次鼍神社大典，你不是有这事就是有那事，我看你就是故意,"Zeng Sanyi, every time during the grand ceremony of the Tong Shrine, you always have one thing or another. I think you are doing it on purpose."
sample_00004539,把门关上，坐吧。,Close the door and have a seat.
sample_00004998,我以前没发现啊，我是这么招人疼的，婚丧嫁娶样样有人操心。,"I never realized before, I am so cherished by others, there are people worrying about everything for me, from marriage to funerals."
sample_00004901,可你想过没有，小月输了怎么办。,But have you ever thought about what would happen if Xiaoyue loses?
sample_00004663,这么霸道啊，你要是让我杀人放火，我也去干,"So domineering, if you ask me to kill and set fires, I would do it."
sample_00000957,我再说一遍，我只要小迪。,"I'll say it again, I only want Xiao Di."
sample_00004187,当然应该送过去。,"Of course, it should be sent over."
sample_00004985,你现在成天都关着机，要么就不在服务区，都是怕李燕给你打电话。,"You're either always turning off your phone or out of service area, all because you're afraid of receiving calls from Li Yan."
sample_00003161,咱们得想点别的办法。,We need to think of some other solutions.
samplenew_00032501,一时病哀，叫月手成全。,"A moment of sickness and sorrow, calling for the moon's hand to make it whole."
sample_00006642,不用在意你的这些检讨书会放到档案里，我看过很多考核资料，其实一年下来每一个人，到年底都是千疮百孔的。,"You don't need to worry about your criticisms being put into your file. I've seen a lot of evaluation materials, and in fact, by the end of each year, everyone is full of flaws."
sample_00003296,不要说了，行吗？,Stop talking!
sample_00003846,朱涛，我也告诉你啊，你今天要是想迈出这个大门一步，这个孩子跟你一点关系都没有，我就拿着我这些画，去外滩支个摊卖画。,"Zhu Tao, let me tell you, if you want to take a step out of this door today, this child has nothing to do with you. I will take these paintings and set up a stall on the Bund to sell them."
samplenew_00023513,你这个低血糖还真要小心一点，没事兜里带两块糖。,"You really need to be careful with your hypoglycemia, carry a couple of pieces of candy in your pocket just in case."
sample_00001451,想着都流口水。,Just thinking about it makes my mouth water.
sample_00003359,安迪，人活着都一样，谁没有一两桩倒霉的事。,"Andy, everyone lives the same way, who doesn't have one or two unfortunate events."
sample_00006781,,
sample_00003335,对对对。,"Yes, yes, yes."
sample_00001393,确诊了吗？,Have you been diagnosed?
sample_00004866,我之所以。,The reason why I.
sample_00003980,那当然，我是他父亲，他是我儿子。,"Of course, I am his father, he is my son."
sample_00003499,好了，带温雪去各部门熟悉一下，十分钟之后到我办公室来，我要派给你们一个特别的任务。,"Alright, take Wenxue around to familiarize with the various departments, and come to my office in ten minutes. I have a special task to assign to you."
sample_00005258,对你来说，烹饪是什么？,What does cooking mean to you?
samplenew_00030115,他就畏手畏脚，痛苦不堪。,He is timid and in unbearable pain.
samplenew_00009657,到靖王这里来透口气，殿下不会不愿意吧？,"You wouldn't mind coming over to Prince Jing's place for a breather, would you, Your Highness?"
samplenew_00053025,父皇，不是您这些年瞎了眼，是当年的玲珑公主瞎了眼啊。,"Father, it's not you who have been blind all these years, it's the Princess Linglong who was blind back then."
sample_00001057,这是跳的谁啊？,Who is this jumping?
sample_00002959,还是跟我爸的离婚协议，也就我爸那傻冒，还对她一往情深呢，结果死都没等到她回心转意。,"It's still about the divorce agreement with my dad. Only a fool like my dad would still be deeply in love with her, but in the end, he didn't even wait for her to change her mind before he died."
sample_00000998,你说我怎么混的这么惨啊？,Why do you say I'm doing so miserably?
sample_00003337,"你就是不带我去，你就是不带我见, 你什么意思你，你就是不爱我。","You just won't take me there, you just won't let me meet, what do you mean, you just don't love me."
samplenew_00027654,怎么？你终于肯了？,What? You finally agreed?
sample_00000107,我就一直想，有一天，我们家牛牛能够睡在我旁边。,"I've always thought, one day, our Niu Niu could sleep next to me."
sample_00006161,黄伟业，你看不上人家，你直接跟人说！,"Huang Weiye, if you don't like her, just tell her directly!"
samplenew_00018776,喂，马院长您好，我还是刘梅，我跟您说呀，刚才把电话一挂呀，我突然想起一主意。,"Hello, Dean Ma, it's Liu Mei again. I just wanted to tell you, as soon as I hung up the phone, I suddenly came up with an idea."
sample_00004363,曹大鹏，你立刻去上班，否则我马上开除你。,"Cao Da Peng, go to work immediately, or I will fire you on the spot."
sample_00001481,你那个泰晤士河里泛滥成灾的大闸蟹。,The Chinese mitten crab in your Thames River is causing a flood disaster.
sample_00006923,总之你，你，你，你不能跟他在一起。,"Anyway, you, you, you, you can't be with him."
sample_00000326,我看见你这样，我就觉得这话说得可真对。,"When I see you like this, I feel that these words are really true."
sample_00006057,我们未未和那个坏男人，分手啦,We have broken up with that bad man.
