name,chinese,english
video_0001_0001,我不想嫁给李茶,I don't want to marry Li cha
video_0001_0002,你这是嫁入豪门啊！,You are married to a big family!
video_0001_0003,我不想嫁入什么豪门，我们不就是豪门吗？,I don't want to marry into a big family. We are a big family aren't we?
video_0001_0004,有那么明显吗？,Is it that obvious?
video_0001_0005,我在这消费这么多钱，我低血糖吃块糖还不行了,I spend so much money here. Why can't I eat a piece of candy with hypoglycemia?
video_0001_0006,够了，每次都是这一套，我不想再听了。,That's enough! It's the same thing every time. I don't want to hear it any more.
video_0001_0007,我刚才信号不好，现在可以了，怎么样，妈，公司给我安排的海景别墅楼。,"I just had a bad signal. Now It's ok. Mom, take a look, how is the sea view villa that my company arranged for me."
video_0001_0008,我刚才是一害怕我就跟王安迪撒了个谎,"When I was afraid just now, so I lied to Andy Wang"
video_0001_0009,说到演讲啊，我不禁想起了我在我的母校。,"When it comes to speeches, I can't help but think of my alma mater."
video_0001_0010,经理经理，别忘了我那五十万和副科长。,"Manager, don't forget my half million and the position of deputy section chief."
video_0001_0011,友德读懂了您对我的暗示。,You De understood your hint.
video_0001_0012,这个神经病,this idiot
video_0001_0013,有人假扮我，我要把事情弄清楚。,Someone pretends to be me. I want to make things clear.
video_0001_0014,觉得委屈你就走呗。,"If you feel wronged, just get out."
video_0001_0015,我实话跟你说吧，我们家破产了。,"just tell you the truth, our family is bankrupt."
video_0001_0016,我爸想自杀骗保，追求莫妮卡是我爸活下去的唯一希望,My dad wants to commit suicide and cheat. Pursuing Monica is my dad's only hope for survival
video_0001_0017,到干妈的公司来做CEO啊，对对对，年薪一个亿,"come and work as the CEO in my godmother's company, yeah, yeah, yeah, one hundred million a year "
video_0001_0018,哦，对对对，她身份很特别，不想让我张扬出去。,"Oh, yes, yes, she is very special. She doesn't want me to publicize."
video_0001_0019,我说就算你给我一个亿我都不乐意，我就想在大渣集团干到断气,"I said that even if you give me a billion yuan, I'm not willing to do it. I'd like to work in Dazha group until I'm die."
video_0001_0020,我的话不好使吗？,Doesn't my words work?
video_0001_0021,巧了，人事科正好缺了一个副科长。,"Coincidentally, the personnel department happened to be missing a deputy chief."
video_0001_0022,副科长还一步登天，我今天要不混上个正科长，我都对不起自己这顿折腾。,"You think the deputy chief is a big promote? If I hadn't been a regular chief today, I'm sorry for my toss."
video_0001_0023,黄先生我都听说了，我的干儿子沧海被你提升为副科长。,"I have heard of Mr. Huang, and my godson, Cang Hai, was promoted to deputy chief by you."
video_0001_0024,这样吧，你自己说说，咱们集团什么职位比较轻松啊！,"So, say it your yourself, what position in our group is easier!"
video_0001_0025,我们想找你聊聊。,We want to talk to you.
video_0001_0026,你觉得他该怎么办啊,What do you think he should do
video_0001_0027,但是您现在可以卖身救集团，干还是不干是吧？,"But you can now sell your body to save the group, do you want to do it or not?"
video_0001_0028,尊严丢了，整个人就破产了,"When dignity is lost, the whole person goes bankrupt"
video_0001_0029,在他们眼里，莫妮卡根本就不是一个人，而是一堆钞票。,"In their eyes, Monica is not a person at all, but a pile of banknotes."
video_0001_0030,大渣集团的小职员？,The Da Zha group's staff?
video_0001_0031,不是都快破产了吗,Isn't it almost bankrupt?
video_0001_0032,咱俩都得烧死,We both have to be burned to death
video_0001_0033,我只是希望每个明天你都在。,I just hope you will be there everyday.
video_0001_0034,明天我在，后天就不一定了。,"I will be there tomorrow, not necessarily the day after tomorrow."
video_0001_0035,我根本就不想嫁给你。,I don't want to marry you at all.
video_0002_0001,也不知道是贵球队的哪位领导，在茫茫人海中一眼就叨中了我这只老妖精,"I don't know which one of your team's leaders, caught me at a glance in the vast crowd."
video_0002_0002,这菜还没凉，要不吃点？,This dish is not cold yet. Would you like some?
video_0002_0003,你说的那些都是我的业余爱好,Those you said are my hobbies
video_0002_0004,我认为你没有理由拒绝。,I think you have no reason to refuse.
video_0002_0005,你们就一个球都别想进,You don't even want to score a goal
video_0002_0006,咱们球队上上下下都是非常信任你，认为你就是能力不行。,"everyone in our team trusts you, and thinks you are just not capable."
video_0002_0007,好聚好散，有时间回来看一看。,"good gather good spread, come back and take a look if you have time."
video_0002_0008,必须留下，他要是走了，我也不干了,"he must stay, if he left, I will quit too."
video_0002_0009,你们不要太嚣张了。,Don't be too arrogant.
video_0002_0010,我没事儿，他们应该也不是故意的。,"I'm fine, they may not be intentional."
video_0002_0011,别听他颠倒黑白啊，我们就是故意的,"Don't listen to his nonsense, we did it on purpose"
video_0002_0012,你要非要感谢，那你把我签了也行。,"If you really want to thank you, you can sign me."
video_0002_0013,知不知道你爷爷其实有一个弟弟。,Do you know that your grandfather actually has a younger brother?
video_0002_0014,哎，先别太激动。,"Hey, don't get too excited."
video_0002_0015,王多鱼，我是你二爷。,"Wang Duoyu, I am your grandfather's brother."
video_0002_0016,当我知道你是我唯一继承人的时候，我他妈差不多就直接哏屁了你这个孙子诶,"When I knew that you were my only heir, I almost choke the ** out"
video_0002_0017,如果放弃选择的话，那这三百亿怎么处置？,"If i give up my choice, how would you deal with the 30 billion yuan?"
video_0002_0018,那将会由殷先生和赖先生的基金会打理。,That money will be taken care of by the foundations of Mr. Yin and Mr. Lai.
video_0002_0019,你那点财务还需要助理,You need an assistant for your tiny finances?
video_0002_0020,你放心，你的猪脑我另作他用。,"Don't worry, I will use your pig brain for other purposes."
video_0002_0021,我这是自家小球队，我也没有办法。,"This is my own small football team, I have no choice."
video_0002_0022,但是要全包进来，一天起码也有十几万。,"But to be fully inclusive, there are at least a hundred thousand a day."
video_0002_0023,非常理解您想请朋友们把酒言欢的心情。,I understand very well that you would like to invite friends to cheer you up.
video_0002_0024,您实在是太精明了，一时间我竟无言以对。,"You are so shrewd, I was speechless for a while."
video_0002_0025,我看你跟王老板关系那么好，他没赏你个啥挣钱的职位？,I think you have such a good relationship with Boss Wang. He didn't reward you for a profitable position?
video_0002_0026,你说那个，你还是没有一技之长，就是大款身边的狗腿子呗，哈哈哈哈,"You said that, you still don't have a skill, that is, the dog of the rich, hahahaha"
video_0002_0027,我工作以来从来没有算错过任何一笔账，我不会因为你而破例,"I have never missed any account since I worked, I will not make an exception because of you"
video_0002_0028,王多鱼是我哥们，你们总说我是他身边的一条狗,"Wang Duoyu is my buddy, you always say that I am a dog beside him"
video_0002_0029,不太理想，话题太高端。,"Not ideal, the topic is too high-end."
video_0002_0030,王先生，你忘了我刚跟你说半年的事。,"Mr. Wang, you forgot that I just told you about half a year."
video_0002_0031,我之前在法国专门选修过庭院设计，纯属爱好。,I have taken elective garden design in France before and it is pure hobby.
video_0002_0032,为什么算了，这么好的院子哪能就这么算了。,"Why not, how can such a good yard be forgotten?"
video_0002_0033,那你好好做你的园丁，别再来找我了。,"Then you can be your gardener, don't come to see me again."
video_0002_0034,明天早上我来上班，工具我那儿都齐。,I will come to work tomorrow morning and I will have all the tools there.
video_0002_0035,我给你两分钟，你给我好好介绍一下，你怎么得的精神病,"I'll give you two minutes, you give me a good introduction, how do you get mentally ill"
video_0002_0036,王总您放心，我已经在最高点套现了，这次收益起码一个亿。,"Mr. Wang, I have cashed in at the highest point, and this time the income will be at least 100 million."
video_0002_0037,他可是资本市场良心啊,He is the conscience of the capital market
video_0002_0038,他变了，他竟然开始嫉妒我的才华。,"He changed, he even started to envy my talent."
video_0003_0001,当然，也不能说是百分之百,"Of course, it cannot be said to be 100%"
video_0003_0002,你看都这个样了，那什么时候才能见好啊！,"You see it all like this, when will it get better!"
video_0003_0003,有你这样教育孩子的吗？,how can you educate your children like this?
video_0003_0004,我真不想看电影了。,I really don't want to watch movies.
video_0003_0005,我什么都可以不要，我不去欧洲了，我不要LV了，我也不换车了。,I don't need anything. I don't want to go to Europe anymore. I don't want LV anymore. I don't change cars.
video_0003_0006,这事结婚前咱俩不是说好了？,"Before we got married, didn't we both agree this thing?"
video_0004_0001,不耽误不耽误，这是应该的，您捐钱给我们建新校舍。,No problem this is what we should do cause you donate money to build a new school for us.
video_0004_0002,这车窗是你砸的吧？,Did you smash this window?
video_0004_0003,那就抱歉了，我也不知道你女儿在哪,"I'm sorry, I don't know where your daughter is"
video_0005_0001,这不有病吗这,Isn't this sick?
video_0005_0002,不是，我是真觉得咱们应该讨论讨论,"No, I really think we should discuss about this"
video_0005_0003,您怎么会觉得他没错,how can you think he is right
video_0005_0004,我们是倍儿严肃认真的认为他有罪,We are thinking seriously that he is guilty
video_0005_0005,如果没有不同意的，我们现在就开始啊,"If there is no disagreement, let's start now"
video_0005_0006,这一般人家的孩子是真干不出来。,The children of this ordinary family really can't do this.
video_0005_0007,心情不好能作为自己不在场的证明吗,"Can ""bad mood"" be the proof of your absence?"
video_0005_0008,这就是我赞赏你态度的原因。,This is why I appreciate your attitude.
video_0005_0009,这典型一好孩子这是。,This is a typical good boy.
video_0005_0010,有你什么事啊？,it's none of your business
video_0005_0011,活了74岁了。,Lived 74 years old.
video_0005_0012,他一穿着破衣服的老头。,he is an old man in rags.
video_0005_0013,人跟你不一样，人家有的是钱,"he is different from you, they have money"
video_0005_0014,哎，这个大哥肯定是一清二楚,"Hey, this bro must be know about the thing"
video_0005_0015,所有的证据证人全是对的,All the witnesses are right
video_0005_0016,用脑子想想就应该发现这里边有问题。,"If you think about it, you should find that there is a problem here."
video_0005_0017,我不关心怎么了,"I don't care what's wrong, ok?"
video_0006_0001,嗨，大家就叫我小王吧,"Hi, you guys can call me Xiao Wang"
video_0006_0002,就在这咸鱼翻身的日子里边,In the days back in the saddle
video_0006_0003,在这没人惯着你们。,no one dote you here
video_0006_0004,"现在是关键时刻，大家要团结嘛,啊！","Now is the critical moment, everyone should unite, ah!"
video_0006_0005,能力强，责任就大,with great power comes great responsibility
video_0006_0006,一个人走，我实在是不放心,I don't feel at ease when I go alone
video_0006_0007,你不尝试怎么知道是真的？,How do you know if you don't try?
video_0006_0008,我在你这儿不就一直就是个笑话吗,Am I always a joke to you?
video_0006_0009,以后有哥的肉吃，绝对有你的汤喝,"from now on, i will share all the gains with you"
video_0006_0010,你哪来那么多鱼呀,Where did you find so many fish?
video_0006_0011,我们发现了一个好地方，那叫要什么有什么。,"We found a good place, there's everything you can imagine"
video_0006_0012,现在想过来了啊，是不太晚了。,"I want to come over now, it's that too late?"
video_0006_0013,大家觉得我这地方怎么样啊？有点意思吗？,What do you guys think of my place? is it Interesting?
video_0006_0014,这又向前跨了一大步。,This is another big step forward.
video_0006_0015,这什么乱七八糟，你弄一个扑克牌在这糊弄鬼呢你？,"What the hell is wrong with this, you make a poker card to fool me?"
video_0006_0016,你给三十我们都不会,we won't do this if you give us 30.
video_0006_0017,燕雀安知鸿鹄之志哉,How can a sparrow know the will of a swan
